case_id,source_file,sha256,status,strict_snapshot_closed,provider_families
ca2-0583d91c7785bb31ad8f,ca2-0583d91c7785bb31ad8f.json,d07326bd7b24708b4d7c601ab86863c214e78b6bd9a55ffb3e5879bf41505da1,VERIFIED,True,alchemy|infura
ca2-0687f6e05dc58457935a,ca2-0687f6e05dc58457935a.json,6e287f12a7f6bd7158c69370591fba44666883a3a0ffe87b66f4a5a820d5c0ae,VERIFIED,True,alchemy|infura
ca2-0973b5638247f1875b62,ca2-0973b5638247f1875b62.json,bbb8656fbbfe447fc14b5526134d8ec7702e35b5aa1f8fa2e3103d056e725a77,VERIFIED,True,alchemy|infura
ca2-0998fb22a8fcd705afbc,ca2-0998fb22a8fcd705afbc.json,56f0b2288090ea512f0d59c9911630c9b60c84d542443182b7ea0f0ccb10718f,VERIFIED,True,alchemy|infura
ca2-0a80356999aee511c6c7,ca2-0a80356999aee511c6c7.json,a4db773ead134de32c33b35f6c3cfb63a21ec7e22e21d1883abf623fc685a76c,VERIFIED,True,alchemy|infura
ca2-0aa20008e0303e8a5201,ca2-0aa20008e0303e8a5201.json,f3527d838568d47ab0489ea8b3af83f1e4e216fb3b1d98c9693ff267a7d8a35d,VERIFIED,True,alchemy|infura
ca2-0bc1321f2d440dbae4b1,ca2-0bc1321f2d440dbae4b1.json,0e23d875d5975b61311c2da705ea6ba2ff6e23277e48b51372ffe157d83bc77b,VERIFIED,True,alchemy|infura
ca2-0bd28c93ecf3fec1d833,ca2-0bd28c93ecf3fec1d833.json,63be2bec9e97549eb02fd1524ab941a05f5cc38867662b2fc2ae1818aecdeed9,VERIFIED,True,alchemy|infura
ca2-0d308a16f604ed495788,ca2-0d308a16f604ed495788.json,3e86056d1e54d752654c6b97a06898d934e468960f772db52c049fdd6bd0f57b,VERIFIED,True,alchemy|infura
ca2-0d94b0dee68d0b41352e,ca2-0d94b0dee68d0b41352e.json,5127775b5bc92371dd39a6e0eff41118bc2ad4e86202e150fbdf173b424dd297,VERIFIED,True,alchemy|infura
ca2-0e06e67c5c9253228751,ca2-0e06e67c5c9253228751.json,323ebba4c7fd161fafef4f6e15656a96f6fe517f66de76055b4b69d10f3d498b,VERIFIED,True,alchemy|infura
ca2-0f2e70bb64b6ee9426eb,ca2-0f2e70bb64b6ee9426eb.json,655663258684acaf9d9e5bc2233a541b10212bc8ce3d123b552d3d8e98a2829b,VERIFIED,True,alchemy|infura
ca2-0fab25d3b5b764c482c5,ca2-0fab25d3b5b764c482c5.json,7f9478fe482f4e939e926b4d4e56cf087f79e5d9c709ddb1be6aa5269f371c40,VERIFIED,True,alchemy|infura
ca2-0fd406d4a5d581dc9171,ca2-0fd406d4a5d581dc9171.json,3281809ebf07bb8af3c907426202074fb38ccac6b33cb4332450a4104c26f6a0,VERIFIED,True,alchemy|infura
ca2-10135a96af2e104eb4a4,ca2-10135a96af2e104eb4a4.json,560303c2f34b5065c426a2c6bf480d23e18dccff851b72f6d3d0fae6e7489393,VERIFIED,True,alchemy|infura
ca2-1110a2625b12e4b110c0,ca2-1110a2625b12e4b110c0.json,85400b0fc72bbd9577d1699691dac206938e776849a64b781f091a42cfe9a4cd,VERIFIED,True,alchemy|infura
ca2-11258a259a94c2ae2ec5,ca2-11258a259a94c2ae2ec5.json,8effe7774af5017c3faf36b46528b6bf80ba0d2fb2db90a0a29c74ec56e3e2b1,VERIFIED,True,alchemy|infura
ca2-11635f2908fcc175e7c9,ca2-11635f2908fcc175e7c9.json,7b0cdb66d2438252b6fe74016f1babc0e0a3e8a228e2c06498785785ace6b807,VERIFIED,True,alchemy|infura
ca2-122f147da75159901ea0,ca2-122f147da75159901ea0.json,0f36ab23d094b574b7903ab05b9a9720731e93c06c6088dba0dc1d5a5bf2adf8,VERIFIED,True,alchemy|infura
ca2-12f0d5e40474ef0de502,ca2-12f0d5e40474ef0de502.json,a5afe5854f84763894c11e7eb4fdc81b1def86eaab9f30990f6abb047d3160c9,VERIFIED,True,alchemy|infura
ca2-14b9ffae56e7c9bfb04e,ca2-14b9ffae56e7c9bfb04e.json,8877bbee6f5a0f55c510e84a7ed0cb827f1d04f956803e0d3bc64d3f3012b2e4,VERIFIED,True,alchemy|infura
ca2-14bd5d42e2f704e2cc65,ca2-14bd5d42e2f704e2cc65.json,2e417d8d883f33a5476d331907ec6bcea5daf42b6857e52dd75a5130dc4bb1e6,VERIFIED,True,alchemy|infura
ca2-14f7f1899d2468d3cabf,ca2-14f7f1899d2468d3cabf.json,06b55577fa9c6bb8e798e03fa40d2ddcbf8a46f1a957ba353fde0b2f944b461d,VERIFIED,True,alchemy|infura
